party,name,state,district,twitter_username,twitter_id,tweet_count,eligible,included_in_balanced_corpus,exclusion_reason,user_code,source_url
Democratic,Angie Craig,MN,02,RepAngieCraig,,50,True,true,,dem011,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Elijah Crane,AZ,02,RepEliCrane,,50,True,true,,rep066,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Jeff Crank,CO,05,RepJeffCrank,,50,True,true,,rep087,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Ric Crawford,AR,01,RepRickCrawford,,50,True,true,,rep162,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Dan Crenshaw,TX,02,RepDanCrenshaw,,50,True,true,,rep049,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Jasmine Crockett,TX,30,RepJasmine,,50,True,true,,dem079,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Jason Crow,CO,06,RepJasonCrow,,50,True,true,,dem080,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Henry Cuellar,TX,28,RepCuellar,,50,True,true,,dem066,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Sharice Davids,KS,03,RepDavids,,50,True,true,,dem176,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Warren Davidson,OH,08,WarrenDavidson,,50,True,true,,rep209,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Danny Davis,IL,07,RepDannyDavis,,50,True,true,,dem029,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Don Davis,NC,01,RepDonDavis,,50,True,true,,dem038,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Monica De La Cruz,TX,15,RepMonicaDLC,,50,True,true,,rep144,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Madeleine Dean,PA,04,RepDean,,50,True,true,,dem125,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Diana DeGette,CO,01,RepDianaDeGette,,50,True,true,,dem036,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Rosa DeLauro,CT,03,rosadelauro,,50,True,true,,dem165,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Suzan DelBene,WA,01,RepDelBene,,50,True,true,,dem188,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Christopher Deluzio,PA,17,RepDeluzio,,50,True,true,,dem026,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Mark DeSaulnier,CA,10,RepDeSaulnier,,50,True,true,,dem131,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Scott DesJarlais,TN,04,DesJarlaisTN04,,50,True,true,,rep180,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Maxine Dexter,OR,03,RepDexterOR,,50,True,true,,dem135,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Mario Diaz-Balart,FL,26,MarioDB,,50,True,true,,rep117,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Debbie Dingell,MI,06,RepDebDingell,,50,True,true,,dem031,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Lloyd Doggett,TX,37,RepLloydDoggett,,50,True,true,,dem119,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Byron Donalds,FL,19,RepDonaldsPress,,50,True,true,,rep035,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Troy Downing,MT,02,RepTroyDowning,,50,True,true,,rep202,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Neal Dunn,FL,02,DrNealDunnFL2,,50,True,true,,rep149,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Chuck Edwards,NC,11,RepChuckEdwards,,50,True,true,,rep042,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Sarah Elfreth,MD,03,RepSarahElfreth,,50,True,true,,dem170,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Jake Ellzey,TX,06,RepEllzey,,50,True,true,,rep082,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
