party,name,state,district,twitter_username,twitter_id,source_url,included_in_balanced_corpus,exclusion_reason
Republican,Pat Harrigan,NC,10,RepPatHarrigan,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Andy Harris,MD,01,RepAndyHarrisMD,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Mark Harris,NC,08,RepMarkHarrisNC,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Diana Harshbarger,TN,01,RepHarshbarger,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Jahana Hayes,CT,05,RepJahanaHayes,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Kevin Hern,OK,01,repkevinhern,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Clay Higgins,LA,03,RepClayHiggins,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,French Hill,AR,02,RepFrenchHill,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Ashley Hinson,IA,02,RepAshleyHinson,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Steven Horsford,NV,04,RepHorsford,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Erin Houchin,IN,09,RepHouchin,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Chrissy Houlahan,PA,06,RepHoulahan,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Steny Hoyer,MD,05,RepStenyHoyer,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Val Hoyle,OR,04,repvalhoyle,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Richard Hudson,NC,09,RepRichHudson,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Jared Huffman,CA,02,RepHuffman,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Bill Huizenga,MI,04,RepHuizenga,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Wesley Hunt,TX,38,RepWesleyHunt,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Jeff Hurd,CO,03,RepJeffHurd,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Darrell Issa,CA,48,repdarrellissa,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Glenn Ivey,MD,04,RepGlennIvey,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Brian Jack,GA,03,RepBrianJack,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Jonathan Jackson,IL,01,rep_jackson,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Ronny Jackson,TX,13,RepRonnyJackson,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Sara Jacobs,CA,51,RepSaraJacobs,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,John James,MI,10,RepJames,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Pramila Jayapal,WA,07,RepJayapal,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Hakeem Jeffries,NY,08,RepJeffries,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Dusty Johnson,SD,00,RepDustyJohnson,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
